ACCOUNT TRANSACTION HISTORY

Name:, John, Doe
Account:, 12345678901, [Easy Account]
Balance:, 15000.50, 12500.75

Date, Amount, Balance, Description
2025/12/24, 500.00, 15000.50, DEPOSIT SALARY PAYMENT
2025/12/23, -250.00, 14500.50, PURCH Grocery Store       400738******0000
2025/12/23, -75.00, 14750.50, PURCH Gas Station         400738******0000
2025/12/23, -10.00, 14825.50, PURCH Coffee Shop         400738******0000
2025/12/23, -0.25, 14835.50, #INT PYMT FEE-9.99 NETFLIX
2025/12/23, -9.99, 14835.75, 9.99 NETFLIX.COM/BIL 412752*0000  20 DEC
2025/12/23, -150.00, 14845.74, Food Delivery Service    412752*0000  18 DEC
2025/12/23, -2000.00, 14995.74, TRANSFER SAVINGS ACCOUNT
2025/12/22, -350.00, 16995.74, PURCH Online Shopping     400738******0000
2025/12/22, -45.00, 17345.74, PURCH Restaurant          400738******0000
2025/12/22, -120.00, 17390.74, PURCH Pharmacy           400738******0000
2025/12/22, -80.00, 17510.74, PURCH Retail Store        400738******0000
2025/12/22, -30.00, 17590.74, PURCH Entertainment       400738******0000
2025/12/22, -25.50, 17620.74, BANK FEE MONTHLY CHARGE
2025/12/20, -100.00, 17646.24, PURCH Supermarket        400738******0000
2025/12/22, -1200.00, 17746.24, TRANSFER TO FRIEND
2025/12/22, -50.00, 18946.24, #BANK COMMISSION CHARGE
2025/12/22, -200.00, 18996.24, UTILITY PAYMENT REFERENCE
2025/12/22, -2500.00, 19196.24, INSURANCE PAYMENT
2025/12/22, -3000.00, 21696.24, VEHICLE MAINTENANCE
2025/12/20, -5.00, 24696.24, Parking Fee                412752*0000  17 DEC
2025/12/19, -300.00, 24701.24, Fuel Purchase            412752*0000  16 DEC
2025/12/19, -60.00, 25001.24, Clothing Store           412752*0000  16 DEC
2025/12/19, -45.00, 25061.24, Fast Food Meal            412752*0000  15 DEC
2025/12/18, -0.99, 25106.24, #INT PYMT FEE-19.99 Music
2025/12/18, -19.99, 25107.23, 19.99 Music Streaming     457896*0000  15 DEC
2025/12/18, 35000.00, 25127.22, SALARY DEPOSIT
2025/12/17, -150.00, -9872.78, Food Delivery Service    412752*0000  11 DEC
2025/12/15, -0.50, -9722.78, #INT PYMT FEE-19.99 APPS
2025/12/15, -19.99, -9722.28, 19.99 APP SUBSCRIPTIONS   412752*0000  11 DEC
2025/12/15, -100.00, -9702.29, Food Delivery Service    412752*0000  10 DEC
2025/12/13, -15.00, -9602.29, Bookstore Purchase        412752*0000  10 DEC
2025/12/12, -400.00, -9587.29, Entertainment Ticket     400738******0000
2025/12/12, -35.00, -9187.29, Fast Food                400738******0000
2025/12/12, -75.00, -9152.29, Clothing Purchase         412752*0000  08 DEC
2025/12/11, -50.00, -9077.29, Restaurant Dinner        400738******0000
2025/12/11, -40.00, -9027.29, Supermarket Shopping      400738******0000
2025/12/09, -100.00, -8987.29, Food Delivery Service    412752*0000  05 DEC
2025/12/05, -90.00, -8887.29, Retail Purchase           400738******0000
2025/12/05, -250.00, -8797.29, Insurance Premium         412752*0000  01 DEC
2025/12/04, -60.00, -8547.29, Fast Food Purchase        400738******0000
2025/12/04, -1.50, -8487.29, #VALUE ADDED SERV FEES
2025/12/04, -50.00, -8485.79, #MONTHLY ACCOUNT FEE
